Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Size,Store_Location_City_Type,Store_Type,Store_Age,target
13.77,Low Sugar,0.015,Fruits and Vegetables,155.54,OUT004,Medium,Tier 2,Supermarket Type2,17,3879.32
8.31,Low Sugar,0.078,Soft Drinks,85.35,OUT002,Small,Tier 3,Food Mart,28,1209.07
11.41,Regular,0.099,Dairy,167.06,OUT004,Medium,Tier 2,Supermarket Type2,17,3582.09
13.07,Low Sugar,0.086,Snack Foods,139.77,OUT004,Medium,Tier 2,Supermarket Type2,17,3399.93
11.14,Low Sugar,0.165,Snack Foods,94.94,OUT002,Small,Tier 3,Food Mart,28,2045.18
12.75,Regular,0.038,Snack Foods,114.56,OUT004,Medium,Tier 2,Supermarket Type2,17,2811.88
12.22,Regular,0.038,Snack Foods,162.19,OUT004,Medium,Tier 2,Supermarket Type2,17,3664.75
9.83,Low Sugar,0.081,Snack Foods,154.0,OUT003,Medium,Tier 1,Departmental Store,27,6325.97
14.92,Regular,0.067,Canned,187.06,OUT001,High,Tier 2,Supermarket Type1,39,4784.89
9.12,Regular,0.057,Snack Foods,136.29,OUT001,High,Tier 2,Supermarket Type1,39,2434.56
10.1,Low Sugar,0.006,Fruits and Vegetables,117.76,OUT002,Small,Tier 3,Food Mart,28,2277.36
13.73,Regular,0.015,Frozen Foods,156.86,OUT004,Medium,Tier 2,Supermarket Type2,17,3896.71
9.45,No Sugar,0.033,Household,118.24,OUT002,Small,Tier 3,Food Mart,28,2141.05
11.75,Low Sugar,0.055,Fruits and Vegetables,180.2,OUT004,Medium,Tier 2,Supermarket Type2,17,3927.26
12.98,Low Sugar,0.046,Baking Goods,110.57,OUT004,Medium,Tier 2,Supermarket Type2,17,2780.32
13.27,Regular,0.042,Baking Goods,153.54,OUT004,Medium,Tier 2,Supermarket Type2,17,3726.43
12.54,Low Sugar,0.023,Fruits and Vegetables,178.97,OUT001,High,Tier 2,Supermarket Type1,39,4081.38
12.16,Low Sugar,0.024,Soft Drinks,139.22,OUT004,Medium,Tier 2,Supermarket Type2,17,3181.12
12.61,Low Sugar,0.048,Fruits and Vegetables,214.03,OUT001,High,Tier 2,Supermarket Type1,39,4814.55
11.16,Low Sugar,0.014,Breads,162.72,OUT004,Medium,Tier 2,Supermarket Type2,17,3436.33
9.37,Low Sugar,0.068,Snack Foods,104.81,OUT002,Small,Tier 3,Food Mart,28,1847.26
12.2,Low Sugar,0.015,Fruits and Vegetables,154.52,OUT004,Medium,Tier 2,Supermarket Type2,17,3503.22
13.01,Low Sugar,0.013,Baking Goods,152.14,OUT004,Medium,Tier 2,Supermarket Type2,17,3637.71
12.76,Low Sugar,0.032,Fruits and Vegetables,82.59,OUT002,Small,Tier 3,Food Mart,28,2159.2
15.34,Low Sugar,0.029,Canned,188.03,OUT001,High,Tier 2,Supermarket Type1,39,4899.16
14.8,Regular,0.147,Baking Goods,145.64,OUT004,Medium,Tier 2,Supermarket Type2,17,3910.7
11.41,Regular,0.096,Dairy,150.57,OUT004,Medium,Tier 2,Supermarket Type2,17,3244.38
12.31,No Sugar,0.129,Household,105.99,OUT004,Medium,Tier 2,Supermarket Type2,17,2536.09
13.36,No Sugar,0.142,Health and Hygiene,166.4,OUT001,High,Tier 2,Supermarket Type1,39,4010.25
11.97,Regular,0.081,Frozen Foods,133.78,OUT004,Medium,Tier 2,Supermarket Type2,17,3027.5
11.12,Low Sugar,0.111,Dairy,97.35,OUT002,Small,Tier 3,Food Mart,28,2091.07
12.16,No Sugar,0.21,Household,173.09,OUT004,Medium,Tier 2,Supermarket Type2,17,3875.63
14.26,Regular,0.065,Frozen Foods,164.81,OUT001,High,Tier 2,Supermarket Type1,39,4180.58
8.71,Regular,0.033,Fruits and Vegetables,88.61,OUT003,Medium,Tier 1,Departmental Store,27,5609.12
11.59,Low Sugar,0.021,Snack Foods,192.9,OUT001,High,Tier 2,Supermarket Type1,39,4151.13
12.67,No Sugar,0.046,Health and Hygiene,175.83,OUT001,High,Tier 2,Supermarket Type1,39,4045.46
14.29,Regular,0.041,Snack Foods,184.99,OUT001,High,Tier 2,Supermarket Type1,39,4599.33
12.88,Low Sugar,0.123,Starchy Foods,158.39,OUT004,Medium,Tier 2,Supermarket Type2,17,3738.06
13.34,No Sugar,0.045,Household,195.56,OUT001,High,Tier 2,Supermarket Type1,39,4601.23
15.45,Low Sugar,0.069,Frozen Foods,161.96,OUT003,Medium,Tier 1,Departmental Store,27,4391.3
12.41,Low Sugar,0.029,Frozen Foods,118.15,OUT004,Medium,Tier 2,Supermarket Type2,17,2808.07
12.65,No Sugar,0.019,Health and Hygiene,190.83,OUT003,Medium,Tier 1,Departmental Store,27,4347.97
11.07,Low Sugar,0.091,Meat,102.25,OUT003,Medium,Tier 1,Departmental Store,27,6035.09
12.99,Low Sugar,0.007,Dairy,110.11,OUT004,Medium,Tier 2,Supermarket Type2,17,2773.61
12.1,No Sugar,0.055,Household,138.4,OUT004,Medium,Tier 2,Supermarket Type2,17,3151.91
12.08,Low Sugar,0.011,Fruits and Vegetables,143.91,OUT004,Medium,Tier 2,Supermarket Type2,17,3259.38
11.31,Low Sugar,0.036,Fruits and Vegetables,112.2,OUT001,High,Tier 2,Supermarket Type1,39,2437.51
