Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total,Store_Age
11.09,Low Sugar,0.158,Soft Drinks,153.24,OUT004,Medium,Tier 2,Supermarket Type2,3227.98,17
11.72,Low Sugar,0.057,Dairy,155.53,OUT004,Medium,Tier 2,Supermarket Type2,3415.93,17
12.0,Low Sugar,0.097,Snack Foods,157.77,OUT004,Medium,Tier 2,Supermarket Type2,3524.53,17
14.51,Regular,0.09,Snack Foods,189.42,OUT001,High,Tier 2,Supermarket Type1,4739.56,39
11.58,No Sugar,0.09,Household,123.81,OUT004,Medium,Tier 2,Supermarket Type2,2735.03,17
10.91,Low Sugar,0.099,Baking Goods,109.32,OUT002,Small,Tier 3,Food Mart,2287.11,28
14.88,Low Sugar,0.292,Dairy,186.77,OUT001,High,Tier 2,Supermarket Type1,4769.76,39
11.07,No Sugar,0.031,Others,136.57,OUT004,Medium,Tier 2,Supermarket Type2,2882.67,17
10.92,No Sugar,0.087,Household,116.87,OUT002,Small,Tier 3,Food Mart,2038.64,28
14.79,No Sugar,0.144,Health and Hygiene,128.07,OUT004,Medium,Tier 2,Supermarket Type2,3547.76,17
12.7,Regular,0.076,Meat,107.86,OUT004,Medium,Tier 2,Supermarket Type2,2663.33,17
12.1,No Sugar,0.057,Others,201.72,OUT003,Medium,Tier 1,Departmental Store,4446.42,27
12.42,Low Sugar,0.119,Soft Drinks,168.13,OUT004,Medium,Tier 2,Supermarket Type2,3833.04,17
10.19,Regular,0.129,Dairy,115.6,OUT002,Small,Tier 3,Food Mart,2254.59,28
11.9,Low Sugar,0.067,Baking Goods,158.76,OUT004,Medium,Tier 2,Supermarket Type2,3523.96,17
9.46,Regular,0.119,Baking Goods,73.87,OUT002,Small,Tier 3,Food Mart,1234.6,28
12.52,Low Sugar,0.142,Snack Foods,158.05,OUT004,Medium,Tier 2,Supermarket Type2,3649.03,17
14.47,Low Sugar,0.033,Fruits and Vegetables,181.67,OUT001,High,Tier 2,Supermarket Type1,4571.91,39
11.18,No Sugar,0.107,Household,100.57,OUT002,Small,Tier 3,Food Mart,2170.67,28
11.94,No Sugar,0.138,Household,176.77,OUT004,Medium,Tier 2,Supermarket Type2,3900.37,17
11.07,Low Sugar,0.128,Meat,108.41,OUT001,High,Tier 2,Supermarket Type1,2305.71,39
11.16,Low Sugar,0.014,Breads,162.72,OUT004,Medium,Tier 2,Supermarket Type2,3436.33,17
15.6,Low Sugar,0.128,Meat,142.9,OUT001,High,Tier 2,Supermarket Type1,4034.74,39
17.44,No Sugar,0.094,Others,181.24,OUT003,Medium,Tier 1,Departmental Store,5235.95,27
13.64,Low Sugar,0.021,Frozen Foods,135.83,OUT004,Medium,Tier 2,Supermarket Type2,3446.4,17
12.55,No Sugar,0.102,Household,140.58,OUT004,Medium,Tier 2,Supermarket Type2,3297.81,17
11.65,Low Sugar,0.035,Soft Drinks,153.25,OUT004,Medium,Tier 2,Supermarket Type2,3353.21,17
8.19,No Sugar,0.049,Health and Hygiene,137.13,OUT002,Small,Tier 3,Food Mart,2241.31,28
13.82,No Sugar,0.104,Household,197.84,OUT001,High,Tier 2,Supermarket Type1,4757.76,39
12.51,Low Sugar,0.066,Soft Drinks,173.85,OUT004,Medium,Tier 2,Supermarket Type2,3969.38,17
14.08,Low Sugar,0.046,Baking Goods,147.01,OUT004,Medium,Tier 2,Supermarket Type2,3775.5,17
11.42,Low Sugar,0.034,Meat,156.9,OUT004,Medium,Tier 2,Supermarket Type2,3376.55,17
12.98,No Sugar,0.123,Health and Hygiene,129.04,OUT004,Medium,Tier 2,Supermarket Type2,3159.82,17
9.65,Low Sugar,0.06,Dairy,109.18,OUT002,Small,Tier 3,Food Mart,2001.26,28
12.56,Low Sugar,0.092,Snack Foods,161.24,OUT004,Medium,Tier 2,Supermarket Type2,5064.03,17
11.48,Regular,0.025,Baking Goods,159.46,OUT004,Medium,Tier 2,Supermarket Type2,3441.95,17
12.05,Low Sugar,0.041,Dairy,143.47,OUT004,Medium,Tier 2,Supermarket Type2,3245.23,17
11.9,No Sugar,0.151,Others,207.46,OUT001,High,Tier 2,Supermarket Type1,4519.09,39
14.37,Low Sugar,0.154,Dairy,126.74,OUT004,Medium,Tier 2,Supermarket Type2,3426.76,17
14.05,Low Sugar,0.191,Snack Foods,130.02,OUT004,Medium,Tier 2,Supermarket Type2,3420.56,17
10.52,Low Sugar,0.079,Canned,181.03,OUT004,Medium,Tier 2,Supermarket Type2,5086.07,17
